ラビングハット,Loving Hut Tokyo,千代田区神田神保町1-54　岡田ビル 2F,"Okada Bldg. 2F, 1-54 Kanda-Jimbocho, Chiyoda City",03-5577-6880
T's たんたん　グランスタ東京店,T’s TANTAN GRANSTA TOKYO,千代田区丸の内1-9-1　グランスタ東京,"GRANSTA TOKYO, 1-9-1 Marunouchi, Chiyoda City",03-3218-8040
アインソフ ギンザ,AIN SOPH. GINZA,中央区銀座4-12-1,"4-12-1 Ginza, Chuo City",050-3134-4241
コメダイズ,KOMEDA is □,中央区築地1-13-1　銀座松竹スクエア 1F,"Ginza Shochiku Square 1F, 1-13-1 Tsukiji, Chuo City",03-6260-6369
ovgo Baker Edo St.,ovgo Baker Edo St.,東京都中央区日本橋小伝馬町10-8,"10-8 Nihonbashi Kodenmacho, Chuo City",03-6667-0328
FALAFEL BROTHERS 六本木店,FALAFEL BROTHERS Roppongi,港区六本木5-1-10,"5-1-11 Roppongi, Minato City",03-6459-2844
TENZO,TENZO,港区西新橋1-22-4,"1-22-4 Nishi-Shimbashi, Minato City",03-6811-1183
アインソフ ジャーニー シンジュク,AIN SOPH. Journey Shinjuku,新宿区新宿3-8-9　新宿Qビル B1F/1F/2F,"Shinjuku Q Bldg. B1F/1F/2F, 3-8-9 Shinjuku, Shinjuku City",050-3503-8688
グレートレイクス,GREAT LAKES,東京都新宿区西早稲田3-27-4,"3-27-4 Nishi-Waseda, Shinjuku City",03-6278-9286
marbre vegan,marbre vegan,東京都新宿区新宿2-1-5 パークサイドスクウェア1階,"Parkside Square 1F, 2-1-5 Shinjuku, Shinjuku City",03-6380-6898
大泉工場NISHIAZABU,OIZUMI KOJO NISHIAZABU,港区西麻布2-13-13,"2-13-13 Nishi-Azabu, Minato City",03-6427-4749
そーよ エスペラント・ビーガン・カフェ,SOJO Esperanto-Vegana Kafejo,新宿区早稲田鶴巻町111 小山ビル 1F,"Koyama Bldg. 1F, 111 Waseda-Tsurumakicho, Shinjuku City",03-6302-1639
ヴィーガンレストラン 根津の谷,Vegan Restaurant Nezunoya,文京区根津1-1-14 ら～いん根津 1F,"Raain Nezu 1F, 1-1-14 Nezu, Bunkyo City",03-3823-0030
ヴェスぺラ,VESPERA,文京区千駄木3-44-1,"3-44-1 Sendagi, Bunkyo City",070-1471-0315
普茶料理 梵,Fucha Vegetarian Cuisine BON,台東区竜泉1-2-11,"1-2-11 Ryusen, Taito City",03-3872-0375
浅草　鳩家,Asakusa Hatoya,東京都台東区浅草2-3-3,"2-3-3 Asakusa, Taito City",050-1442-5418
悦納,injoy,"台東区花川戸1-9-1　AUSPICE Asakusa
Hanakawado 3F","AUSPICE Asakusa Hanakawado 3F, 1-9-1
Hanakawado, Taito City",03-5830-2333
まるごとVeganダイニング浅草,Marugoto Vegan Dinning Asakusa,台東区花川戸1-3-3　矢吹ビル 1F,"Yabuki Bldg. 1F, 1-3-3 Hanakawado, Taito City",03-5830-8134
Vegan Cafe PQ's,Vegan Cafe PQ's,台東区竜泉1-1-2,"1-1-2 Ryusen, Taito City",03-6877-1588
