Loving Hut Tokyo,ラビングハット,"Okada Bldg. 2F, 1-54 Kanda-Jimbocho, Chiyoda City",東京都千代田区神田神保町1-54　岡田ビル 2F,03-5577-6880,Category1_1,F-3,1
T’s TANTAN GRANSTA TOKYO,T's たんたん　グランスタ東京店,"GRANSTA TOKYO, 1-9-1 Marunouchi, Chiyoda City",東京都千代田区丸の内1-9-1　グランスタ東京,03-3218-8040,Category1_2,F-5,1
AIN SOPH. GINZA,アインソフ ギンザ,"4-12-1 Ginza, Chuo City",東京都中央区銀座4-12-1,050-3134-4241,Category1_3,F-5,1
KOMEDA is □,コメダイズ,"Ginza Shochiku Square 1F, 1-13-1 Tsukiji, Chuo City",東京都中央区築地1-13-1　銀座松竹スクエア 1F,03-6260-6369,Category1_4,G-6,1
ovgo Baker Edo St.,ovgo Baker Edo St.,"10-8 Nihonbashi Kodenmacho, Chuo City",東京都中央区日本橋小伝馬町10-8,03-6667-0328,Category1_5,G-4,1
FALAFEL BROTHERS Roppongi,FALAFEL BROTHERS 六本木店,"5-1-11 Roppongi, Minato City",東京都港区六本木5-1-10,03-6459-2844,Category1_6,D-6,1
TENZO,TENZO,"1-22-4 Nishi-Shimbashi, Minato City",東京都港区西新橋1-22-4,03-6811-1183,Category1_7,E-6,1
AIN SOPH. Journey Shinjuku,アインソフ ジャーニー シンジュク,"Shinjuku Q Bldg. B1F/1F/2F, 3-8-9 Shinjuku, Shinjuku City",東京都新宿区新宿3-8-9　新宿Qビル B1F/1F/2F,050-3503-8688,Category1_8,C-4,1
GREAT LAKES,グレートレイクス,"3-27-4 Nishi-Waseda, Shinjuku City",東京都新宿区西早稲田3-27-4,03-6278-9286,Category1_9,C-2,1
marbre vegan,marbre vegan,"Parkside Square 1F, 2-1-5 Shinjuku, Shinjuku City",東京都新宿区新宿2-1-5 パークサイドスクウェア1階,03-6380-6898,Category1_10,C-4,1
OIZUMI KOJO NISHIAZABU,大泉工場NISHIAZABU,"2-13-13 Nishi-Azabu, Minato City",東京都港区西麻布2-13-13,03-6427-4749,Category1_11,D-6,1
SOJO Esperanto-Vegana Kafejo,そーよ エスペラント・ビーガン・カフェ,"Koyama Bldg. 1F, 111 Waseda-Tsurumakicho, Shinjuku City",東京都新宿区早稲田鶴巻町111 小山ビル 1F,03-6302-1639,Category1_12,D-3,1
Vegan Restaurant Nezunoya,ヴィーガンレストラン 根津の谷,"Raain Nezu 1F, 1-1-14 Nezu, Bunkyo City",東京都文京区根津1-1-14 ら～いん根津 1F,03-3823-0030,Category1_13,F-2,1
VESPERA,ヴェスぺラ,"3-44-1 Sendagi, Bunkyo City",東京都文京区千駄木3-44-1,070-1471-0315,Category1_14,F-1,1
Fucha Vegetarian Cuisine BON,普茶料理 梵,"1-2-11 Ryusen, Taito City",東京都台東区竜泉1-2-11,03-3872-0375,Category1_15,H-2,1
Asakusa Hatoya,浅草　鳩家,"2-3-3 Asakusa, Taito City",東京都台東区浅草2-3-3,050-1442-5418,Category1_16,H-2,1
injoy,悦納,"AUSPICE Asakusa Hanakawado 3F, 1-9-1
Hanakawado, Taito City","東京都台東区花川戸1-9-1　AUSPICE Asakusa
Hanakawado 3F",03-5830-2333,Category1_17,H-2,1
Marugoto Vegan Dinning Asakusa,まるごとVeganダイニング浅草,"Yabuki Bldg. 1F, 1-3-3 Hanakawado, Taito City",東京都台東区花川戸1-3-3　矢吹ビル 1F,03-5830-8134,Category1_18,H-2,1
Vegan Cafe PQ's,Vegan Cafe PQ's,"1-1-2 Ryusen, Taito City",東京都台東区竜泉1-1-2,03-6877-1588,Category1_19,H-2,1
Shochiku-en Café,松竹圓カフェ,"2-7-6 Nishi-Asakusa, Taito City",東京都台東区西浅草2-7-6,03-6802-8355,Category1_20,H-2,1
Shochiku-en sweets house Vegan & Gluten-free,松竹圓製菓所,"1-32-1 Nihonzutsumi, Taito City",東京都台東区日本堤1-32-1,03-6802-4804,Category1_21,H-1,1
T's TANTAN ecute Ueno,T'sたんたんエキュート上野店,"ecute Ueno 3F, 7-1-1 Ueno, Taito City",東京都台東区上野7-1-1 エキュート上野 3F,03-5826-5618,Category1_22,G-2,1
VEGAN GYOZA,ヴィーガン餃子,"Yoko Bldg. 1F, 3-11-17 Negishi, Taito City",東京都台東区根岸3-11-17 陽光ビル1F,03-3871-7017,Category1_23,G-2,1
FruOats Factory,FruOats Factory,"1-12-20 Ogibashi, Koto City",東京都江東区扇橋1-12-20,なし,Category1_24,I-4,1
Vegan Ramen UZU Tokyo,Vegan Ramen UZU Tokyo,"teamLab Planets TOKYO, 6-1-16 Toyosu, Koto City",東京都江東区豊洲6-1-16　teamLab Planets TOKYO 敷地内,なし,Category1_25,H-7,1
Plus Veganique JIYUGAOKA,プラスヴィーガニック自由が丘,"1-19-23 Jiyugaoka, Meguro City",東京都目黒区自由が丘1-19-23,090-9823-8310,Category1_26,A-10,1
Rainbow Bird Rendezvous,レインボーバードランデヴー,"1-1-1 Yutenji, Meguro City",東京都目黒区祐天寺1-1-1,03-3791-5470,Category1_27,B-8,1
