id,name,eng_name,address,eng_address,phone,google_place_id,category,created_at,updated_at,latitude,longitude
1,"ラビングハット","Loving Hut Tokyo","東京都千代田区神田神保町1-54　岡田ビル 2F","Okada Bldg. 2F, 1-54 Kanda-Jimbocho, Chiyoda City",03-5577-6880,ChIJVVX5gRaMGGARYLZ7NqJQUrw,1,"2023-05-20 15:11:10.320905","2023-06-04 10:44:11.039433",35.698365,139.7575612
2,"T's たんたん　グランスタ東京店","T’s TANTAN GRANSTA TOKYO","東京都千代田区丸の内1-9-1　グランスタ東京","GRANSTA TOKYO, 1-9-1 Marunouchi, Chiyoda City",03-3218-8040,ChIJtTLL9fuLGGARm6IP54k3xn4,1,"2023-05-20 15:11:10.325403","2023-06-04 11:14:14.500808",35.6797625,139.7669513
3,"アインソフ ギンザ","AIN SOPH. GINZA","東京都中央区銀座4-12-1","4-12-1 Ginza, Chuo City",050-3134-4241,ChIJQ95c0uCLGGARcUHJMJzpTTE,1,"2023-05-20 15:11:10.327590","2023-06-04 11:28:45.837430",35.670184,139.767976
4,"コメダイズ","KOMEDA is □","東京都中央区築地1-13-1　銀座松竹スクエア 1F","Ginza Shochiku Square 1F, 1-13-1 Tsukiji, Chuo City",03-6260-6369,ChIJTbD0tqGLGGAR_F9iW6BGesQ,1,"2023-05-20 15:11:10.329548","2023-06-04 11:28:46.159456",35.6680171,139.7694521
5,"ovgo Baker Edo St.","ovgo Baker Edo St.","東京都中央区日本橋小伝馬町10-8","10-8 Nihonbashi Kodenmacho, Chuo City",03-6667-0328,ChIJ79XB9L-JGGAR6E27HkUnDhc,1,"2023-05-20 15:11:10.331459","2023-06-04 11:28:46.758060",35.6926131,139.7851994
6,"FALAFEL BROTHERS 六本木店","FALAFEL BROTHERS Roppongi","東京都港区六本木5-1-10","5-1-11 Roppongi, Minato City",03-6459-2844,ChIJd_3zaZ2LGGARqmMxQpj7svE,1,"2023-05-20 15:11:10.333405","2023-06-04 11:28:47.269108",35.6623493,139.7328198
7,TENZO,TENZO,"東京都港区西新橋1-22-4","1-22-4 Nishi-Shimbashi, Minato City",03-6811-1183,ChIJQX2BmTCLGGARAmptKLBGnGo,1,"2023-05-20 15:11:10.335409","2023-06-04 11:28:47.782101",35.6683946,139.7520473
8,"アインソフ ジャーニー シンジュク","AIN SOPH. Journey Shinjuku","東京都新宿区新宿3-8-9　新宿Qビル B1F/1F/2F","Shinjuku Q Bldg. B1F/1F/2F, 3-8-9 Shinjuku, Shinjuku City",050-3503-8688,ChIJyUynodyMGGARfdwk4A8pub8,1,"2023-05-20 15:11:10.338252","2023-06-04 11:28:48.296718",35.6907077,139.7066642
9,"グレートレイクス","GREAT LAKES","東京都新宿区西早稲田3-27-4","3-27-4 Nishi-Waseda, Shinjuku City",03-6278-9286,ChIJMf_jllKNGGARC30llvWNJ7E,1,"2023-05-20 15:11:10.340255","2023-06-04 11:28:48.806743",35.7116878,139.7107192
10,"marbre vegan","marbre vegan","東京都新宿区新宿2-1-5 パークサイドスクウェア1階","Parkside Square 1F, 2-1-5 Shinjuku, Shinjuku City",03-6380-6898,ChIJQc2aedONGGARSgi_VjUib-w,1,"2023-05-20 15:11:10.342389","2023-06-04 11:28:49.315244",35.6884502,139.7090709
11,"大泉工場NISHIAZABU","OIZUMI KOJO NISHIAZABU","東京都港区西麻布2-13-13","2-13-13 Nishi-Azabu, Minato City",03-6427-4749,ChIJq6pGmHqLGGARH1G8KB0zmR4,1,"2023-05-20 15:11:10.344243","2023-06-04 11:28:49.768477",35.660066,139.7231528
12,"そーよ エスペラント・ビーガン・カフェ","SOJO Esperanto-Vegana Kafejo","東京都新宿区早稲田鶴巻町111 小山ビル 1F","Koyama Bldg. 1F, 111 Waseda-Tsurumakicho, Shinjuku City",03-6302-1639,ChIJYc8nGgONGGAROLk4tmOltlg,1,"2023-05-20 15:11:10.346110","2023-06-04 11:28:50.337019",35.708267,139.723423
13,"ヴィーガンレストラン 根津の谷","Vegan Restaurant Nezunoya","東京都文京区根津1-1-14 ら～いん根津 1F","Raain Nezu 1F, 1-1-14 Nezu, Bunkyo City",03-3823-0030,ChIJxUAqfi6MGGAR0S2gJX3GawQ,1,"2023-05-20 15:11:10.353305","2023-06-04 11:28:50.849390",35.7175468,139.7651712
14,"ヴェスぺラ",VESPERA,"東京都文京区千駄木3-44-1","3-44-1 Sendagi, Bunkyo City",070-1471-0315,ChIJVxJYEs6NGGARBSfWJBZDwl0,1,"2023-05-20 15:11:10.355590","2023-06-04 11:28:51.368572",35.7286485,139.7637809
15,"普茶料理 梵","Fucha Vegetarian Cuisine BON","東京都台東区竜泉1-2-11","1-2-11 Ryusen, Taito City",03-3872-0375,ChIJq93re5KOGGARyOWE3u9BOzo,1,"2023-05-20 15:11:10.357522","2023-06-04 11:28:51.878330",35.7229176,139.7903898
16,"浅草　鳩家","Asakusa Hatoya","東京都台東区浅草2-3-3","2-3-3 Asakusa, Taito City",050-1442-5418,ChIJi1IiO8yPGGARzQ-RIKVmvjg,1,"2023-05-20 15:11:10.359425","2023-06-04 11:28:52.393202",35.712908,139.7961596
17,"悦納",injoy,"東京都台東区花川戸1-9-1　AUSPICE Asakusa
Hanakawado 3F","AUSPICE Asakusa Hanakawado 3F, 1-9-1
Hanakawado, Taito City",03-5830-2333,ChIJ0fvqe_ePGGARlWT4bIjr880,1,"2023-05-20 15:11:10.361313","2023-06-04 11:28:52.795377",35.712699,139.798665
18,"まるごとVeganダイニング浅草","Marugoto Vegan Dinning Asakusa","東京都台東区花川戸1-3-3　矢吹ビル 1F","Yabuki Bldg. 1F, 1-3-3 Hanakawado, Taito City",03-5830-8134,ChIJ1al4IsSOGGAR7bkjU4KOhuc,1,"2023-05-20 15:11:10.363148","2023-06-04 11:28:53.312007",35.7117593,139.7988997
